Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
"Oct 24, 2019",52.23,52.11,52.42,51.44,25.65M
"Oct 23, 2019",51.72,51.37,51.96,51.2,15.96M
"Oct 22, 2019",52.01,51.9,52.32,51.89,13.35M
"Oct 21, 2019",52.13,51.52,52.17,51.34,13.12M
"Oct 18, 2019",51.36,51.75,51.82,51.03,16.98M
"Oct 17, 2019",51.86,52.63,52.84,51.38,16.92M
"Oct 16, 2019",52.45,52.35,52.56,52.12,15.17M
"Oct 15, 2019",52.65,51.93,53.07,51.83,18.97M
"Oct 14, 2019",51.64,51.9,51.95,51.44,16.43M
"Oct 11, 2019",52.09,52.0,52.79,51.82,24.17M
"Oct 10, 2019",51.11,50.41,51.77,50.4,14.61M
"Oct 09, 2019",50.48,50.47,50.79,50.15,12.19M
"Oct 08, 2019",49.73,50.16,50.48,49.61,17.88M
"Oct 07, 2019",50.62,50.7,51.23,50.56,12.72M
"Oct 04, 2019",50.92,50.35,50.97,50.03,12.75M
"Oct 03, 2019",50.03,49.5,50.07,48.53,17.24M
"Oct 02, 2019",49.39,50.31,50.37,48.98,21.44M
"Oct 01, 2019",50.76,51.97,52.24,50.43,18.49M
"Sep 30, 2019",51.53,51.19,51.59,50.94,14.06M
"Sep 27, 2019",50.78,50.63,51.22,50.34,14.85M
"Sep 26, 2019",50.92,50.98,51.15,50.34,11.48M
"Sep 25, 2019",51.02,49.75,51.21,49.42,20.12M
"Sep 24, 2019",49.82,51.1,51.18,49.64,28.47M
"Sep 23, 2019",50.9,50.83,51.23,50.39,21.57M
"Sep 20, 2019",50.72,51.6,51.88,50.56,38.63M
"Sep 19, 2019",51.57,51.7,51.99,51.5,11.85M
"Sep 18, 2019",51.74,52.13,52.13,51.16,15.03M
"Sep 17, 2019",51.95,52.05,52.14,51.35,19.89M
"Sep 16, 2019",52.2,51.9,52.28,51.7,13.35M
"Sep 13, 2019",52.54,52.76,53.0,52.23,18.01M
"Sep 12, 2019",53.01,53.0,53.33,52.06,23.31M
"Sep 11, 2019",52.79,51.6,52.79,51.38,18.97M
"Sep 10, 2019",51.82,51.33,51.84,50.83,18.53M
"Sep 09, 2019",51.59,51.06,52.03,51.02,20.75M
"Sep 06, 2019",50.92,50.25,50.99,50.07,17.07M
"Sep 05, 2019",50.1,49.92,51.17,49.87,30.02M
"Sep 04, 2019",48.92,47.56,48.95,47.54,23.47M
"Sep 03, 2019",46.98,47.12,47.22,46.49,15.01M
"Aug 30, 2019",47.41,47.24,47.79,47.16,16.92M
"Aug 29, 2019",46.87,46.46,47.22,46.4,17.81M
"Aug 28, 2019",45.79,45.7,45.91,45.37,14.90M
"Aug 27, 2019",45.79,45.87,46.12,45.5,16.93M
"Aug 26, 2019",45.56,45.82,45.82,45.25,22.09M
"Aug 23, 2019",44.96,46.35,46.63,44.8,32.82M
"Aug 22, 2019",46.78,47.28,47.43,46.69,19.79M
"Aug 21, 2019",47.15,47.11,47.29,46.89,15.92M
"Aug 20, 2019",46.6,47.03,47.12,46.46,23.12M
"Aug 19, 2019",47.23,47.46,47.6,47.04,21.40M
"Aug 16, 2019",46.5,46.34,46.68,46.06,23.34M
"Aug 15, 2019",45.7,46.1,46.18,45.44,21.99M
"Aug 14, 2019",45.87,46.06,46.62,45.65,25.65M
"Aug 13, 2019",46.84,45.49,47.05,45.36,29.37M
"Aug 12, 2019",45.6,45.76,46.07,45.44,18.49M
"Aug 09, 2019",45.98,46.94,47.0,45.78,24.98M
"Aug 08, 2019",47.17,46.16,47.37,45.91,30.64M
"Aug 07, 2019",46.73,46.3,46.88,45.97,29.44M
"Aug 06, 2019",46.96,47.15,47.56,46.77,26.12M
"Aug 05, 2019",46.97,47.76,47.96,46.57,38.94M
"Aug 02, 2019",48.68,49.09,49.36,48.5,27.88M
"Aug 01, 2019",49.5,50.52,51.89,49.47,34.02M
"Jul 31, 2019",50.55,51.51,51.72,50.05,24.17M
"Jul 30, 2019",51.7,51.71,52.31,51.56,16.49M
"Jul 29, 2019",52.51,51.53,52.56,50.78,21.90M
"Jul 26, 2019",51.59,52.69,53.5,51.53,36.40M
"Jul 25, 2019",52.16,52.51,52.6,51.88,27.77M
"Jul 24, 2019",52.92,51.98,52.97,51.8,20.90M
"Jul 23, 2019",51.75,52.0,52.0,51.3,18.41M
"Jul 22, 2019",51.35,50.01,51.52,49.89,21.69M
"Jul 19, 2019",50.27,49.96,50.66,49.91,29.14M
"Jul 18, 2019",49.94,49.28,49.99,48.89,15.68M
"Jul 17, 2019",49.39,49.5,49.7,49.24,11.93M
"Jul 16, 2019",49.17,49.91,50.0,48.96,17.13M
"Jul 15, 2019",50.12,50.0,50.25,49.77,14.35M
"Jul 12, 2019",49.92,49.0,49.93,48.81,20.15M
"Jul 11, 2019",48.6,48.56,48.78,48.31,16.62M
"Jul 10, 2019",48.21,47.92,48.61,47.9,16.03M
"Jul 09, 2019",47.75,47.36,47.8,47.13,17.85M
"Jul 08, 2019",47.82,47.62,47.95,47.07,16.56M
"Jul 05, 2019",48.08,48.03,48.17,47.44,14.34M
"Jul 03, 2019",48.52,48.18,48.56,47.99,10.74M
"Jul 02, 2019",48.12,47.91,48.22,47.69,15.38M
"Jul 01, 2019",48.05,49.29,49.45,47.74,27.51M
"Jun 28, 2019",47.87,47.77,48.2,47.68,26.65M
"Jun 27, 2019",47.46,48.15,48.42,47.24,23.06M
"Jun 26, 2019",48.19,47.65,48.48,47.56,21.89M
"Jun 25, 2019",46.85,47.56,47.68,46.8,16.67M
"Jun 24, 2019",47.63,47.4,47.85,47.17,14.48M
"Jun 21, 2019",47.46,46.95,47.73,46.8,31.10M
"Jun 20, 2019",47.19,47.87,48.05,46.87,20.13M
"Jun 19, 2019",47.07,47.48,47.58,47.0,17.44M
"Jun 18, 2019",47.37,46.75,48.0,46.6,25.73M
"Jun 17, 2019",46.13,46.14,46.53,45.8,12.64M
"Jun 14, 2019",46.19,45.83,46.42,45.55,15.38M
"Jun 13, 2019",46.7,46.6,46.95,46.53,12.27M
"Jun 12, 2019",46.32,46.67,46.67,46.25,15.90M
"Jun 11, 2019",46.85,47.26,47.32,46.52,18.42M
"Jun 10, 2019",46.8,46.23,47.19,46.2,20.81M
"Jun 07, 2019",46.03,45.25,46.12,45.1,24.37M
"Jun 06, 2019",45.1,44.75,45.17,44.51,19.08M
"Jun 05, 2019",44.55,45.11,45.18,44.19,20.80M
"Jun 04, 2019",44.79,44.16,44.85,43.77,28.09M
"Jun 03, 2019",43.46,44.25,44.59,43.2,31.16M
"May 31, 2019",44.04,44.18,44.79,43.93,25.53M
"May 30, 2019",44.73,44.3,45.03,44.23,21.62M
"May 29, 2019",44.23,43.35,44.53,43.33,28.45M
"May 28, 2019",43.57,44.66,44.69,43.3,34.78M
"May 24, 2019",44.57,44.59,45.05,44.49,27.17M
"May 23, 2019",44.53,43.37,44.74,42.86,35.78M
"May 22, 2019",44.0,44.15,44.46,43.84,16.93M
"May 21, 2019",44.46,44.34,44.78,44.17,25.54M
"May 20, 2019",43.56,44.0,44.52,43.45,28.67M
"May 17, 2019",44.89,45.18,45.73,44.76,22.50M
"May 16, 2019",45.53,45.47,45.95,45.42,19.95M
"May 15, 2019",45.62,44.92,45.75,44.76,23.41M
"May 14, 2019",45.17,45.18,45.48,44.87,24.71M
"May 13, 2019",44.76,45.33,45.64,44.7,39.09M
"May 10, 2019",46.2,46.44,46.8,45.1,42.52M
"May 09, 2019",46.62,47.9,48.29,46.05,59.64M
"May 08, 2019",49.24,50.2,50.79,49.07,36.81M
"May 07, 2019",50.48,50.6,50.88,49.93,29.71M
"May 06, 2019",51.22,50.25,51.28,50.19,26.25M
"May 03, 2019",51.75,51.08,51.82,50.73,25.66M
"May 02, 2019",50.55,50.8,51.33,50.12,22.66M
"May 01, 2019",50.76,51.1,51.6,50.74,20.47M
"Apr 30, 2019",51.04,51.0,51.43,50.87,27.13M
"Apr 29, 2019",51.11,52.17,52.43,51.0,42.14M
"Apr 26, 2019",52.43,52.74,53.09,51.52,72.36M
"Apr 25, 2019",57.61,58.3,58.38,57.23,27.95M
"Apr 24, 2019",58.72,58.52,59.29,58.14,17.72M
"Apr 23, 2019",58.78,58.89,58.98,58.5,17.74M
"Apr 22, 2019",58.82,58.15,58.83,57.88,12.33M
"Apr 18, 2019",58.49,58.71,58.88,58.12,20.46M
"Apr 17, 2019",58.56,58.44,59.59,58.12,38.79M
"Apr 16, 2019",56.71,56.66,57.47,56.07,30.30M
"Apr 15, 2019",56.28,56.46,56.55,55.92,11.68M
"Apr 12, 2019",56.42,56.21,56.49,55.84,12.91M
"Apr 11, 2019",55.8,55.76,56.07,55.63,10.85M
"Apr 10, 2019",55.75,55.32,55.86,55.32,13.08M
