Date,INFY,RELIANCE,TATA,AXIS_BANK,TITAN
2017-05-16,955.0,1356.3,83.85,501.5,488.3
2017-05-17,952.8,1353.1,85.35,502.8,481.75
2017-05-18,961.75,1327.35,83.75,492.0,471.65
2017-05-19,957.95,1318.85,84.15,501.7,471.15
2017-05-22,961.45,1324.15,82.05,502.3,481.4
2017-05-23,957.3,1305.55,80.5,500.6,478.35
2017-05-24,954.8,1297.7,80.25,499.3,469.2
2017-05-25,983.3,1302.45,80.4,507.45,463.9
2017-05-26,995.7,1337.3,81.05,511.45,473.45
2017-05-29,985.15,1356.9,81.15,507.25,470.65
2017-05-30,996.2,1359.35,82.4,514.4,469.8
2017-05-31,977.05,1340.7,81.0,514.05,474.9
2017-06-01,971.4,1328.25,80.7,509.3,470.7
2017-06-02,969.45,1324.75,81.05,508.05,471.75
2017-06-05,958.75,1329.35,81.0,513.65,551.85
2017-06-06,979.35,1312.8,79.6,510.2,527.15
2017-06-07,961.3,1339.0,80.0,514.2,536.2
2017-06-08,956.45,1331.7,79.05,515.75,529.1
2017-06-09,948.6,1335.7,77.8,513.65,525.45
2017-06-12,963.85,1319.45,78.9,507.5,515.8
2017-06-13,957.8,1314.35,78.1,506.45,520.55
2017-06-14,958.6,1357.5,77.55,509.5,521.9
2017-06-15,952.1,1383.95,77.1,507.6,517.65
2017-06-16,940.25,1388.8,77.9,510.45,516.4
2017-06-19,929.85,1409.25,78.05,520.15,515.2
2017-06-20,943.55,1412.35,82.1,511.85,526.7
2017-06-21,943.35,1422.0,81.75,507.75,523.1
2017-06-22,940.15,1432.65,82.75,508.0,519.9
2017-06-23,943.25,1435.85,81.5,504.65,513.3
2017-06-27,927.05,1437.15,81.1,492.85,516.0
2017-06-28,924.7,1398.5,81.65,492.0,507.3
2017-06-29,930.2,1392.7,81.55,512.1,509.6
2017-06-30,935.55,1380.0,80.55,517.35,524.45
2017-07-03,951.9,1381.05,80.4,517.25,532.4
2017-07-04,962.15,1421.95,81.2,508.4,535.55
2017-07-05,950.9,1442.65,81.75,513.9,531.8
2017-07-06,947.0,1442.55,81.95,509.5,533.95
2017-07-07,935.4,1491.15,81.7,503.15,532.5
2017-07-10,957.05,1492.85,83.45,509.95,536.75
2017-07-11,975.35,1494.35,83.0,506.8,528.7
2017-07-12,972.35,1511.1,83.05,506.75,530.8
2017-07-13,977.05,1522.1,83.25,511.9,534.15
2017-07-14,972.05,1533.75,82.95,512.95,533.65
2017-07-17,984.05,1551.75,83.4,510.5,533.75
2017-07-18,985.6,1519.9,82.45,516.55,527.75
2017-07-19,979.85,1532.95,82.95,520.2,533.05
2017-07-20,969.45,1528.9,82.9,540.0,529.8
2017-07-21,980.1,1585.0,83.35,540.8,543.2
